"SHARKID","DATE","SIGHTING","SPECIES_SCIENTIFIC","SPECIES_COMMON","DAY","MONTH","YEAR","OWNER","DATATYPE","LATITUDE","LONGITUDE"
2009050901,2009-07-18,1,"CARCHARODON CARCHARIAS","WHITE SHARK","18","07","2009","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009051001,2009-05-10,1,"CARCHARODON CARCHARIAS","WHITE SHARK","10","05","2009","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009051001,2009-05-19,1,"CARCHARODON CARCHARIAS","WHITE SHARK","19","05","2009","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009051001,2009-06-27,1,"CARCHARODON CARCHARIAS","WHITE SHARK","27","06","2009","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009051001,2009-07-15,1,"CARCHARODON CARCHARIAS","WHITE SHARK","15","07","2009","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009051001,2010-05-22,1,"CARCHARODON CARCHARIAS","WHITE SHARK","22","05","2010","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009051001,2010-05-25,1,"CARCHARODON CARCHARIAS","WHITE SHARK","25","05","2010","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009051001,2010-10-03,1,"CARCHARODON CARCHARIAS","WHITE SHARK","03","10","2010","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009051001,2010-11-17,1,"CARCHARODON CARCHARIAS","WHITE SHARK","17","11","2010","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009051101,2009-05-11,1,"CARCHARODON CARCHARIAS","WHITE SHARK","11","05","2009","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009051102,2009-05-11,1,"CARCHARODON CARCHARIAS","WHITE SHARK","11","05","2009","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009051201,2009-05-12,1,"CARCHARODON CARCHARIAS","WHITE SHARK","12","05","2009","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009051201,2009-07-21,1,"CARCHARODON CARCHARIAS","WHITE SHARK","21","07","2009","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009051401,2009-05-14,1,"CARCHARODON CARCHARIAS","WHITE SHARK","14","05","2009","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009051401,2009-07-10,1,"CARCHARODON CARCHARIAS","WHITE SHARK","10","07","2009","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
2009051401,2010-02-26,1,"CARCHARODON CARCHARIAS","WHITE SHARK","26","02","2010","ANDREOTTI","BOATSIGHTING",-34.676456,19.408877
